cell,cond,bucket,n,dates,mean5,t5,hit,mean10,t10,train_t,test_t,test_mean,base_mean,confirmed
ema20_loss/confirmed,atr_pct,mid,665,312,-0.02896515275284888,0.30059354582474096,0.5263157894736842,0.5914174175040626,2.1043909629254305,-0.3556760385694165,0.9390695425718598,0.29943261406579186,0.17683188443536804,False
ema20_loss/confirmed,price,$2-10,1082,371,0.0806388806080967,0.515240859075897,0.5462107208872459,0.014117382241962254,-0.2418624671440232,-0.25223348234017473,1.2553085957749202,0.17738310333197346,0.17683188443536804,False
ema20_loss/confirmed,price,>$10,772,325,0.39576906074925583,1.936018588184728,0.5466321243523317,0.8263250666750898,2.918027125499126,2.129194886773846,0.47341994231583917,0.3043671473995105,0.17683188443536804,False
ema20_loss/confirmed,vs_ema20,below,2122,439,0.1783957992039593,0.3752653062450958,0.5466540999057493,0.2529978559631161,0.49283325093199365,-0.1885886026878361,1.0243508224236206,0.23565979139612742,0.17683188443536804,False
ema20_loss/confirmed,mkt20,mkt flat,1397,303,0.1875905247650611,-0.08697892602723352,0.5461703650680029,0.2889233867362719,-0.19730941089453422,-0.43936397592618187,0.5831325543666531,0.175832779042217,0.17683188443536804,False
ema20_loss/forming,vol_ratio,<1x,687,293,0.0479692035355862,0.3405194568274796,0.5342066957787481,0.42121598846724584,2.4310041940594913,0.4858065881392086,0.013167197836345186,-0.23351553215471207,0.10957028526947948,False
ema20_loss/forming,rsi,45-55,1100,389,0.09116962943957183,0.6991074183771392,0.5327272727272727,0.4049738264223022,2.507663086108525,-0.2813357049029121,1.322549135056425,0.09699356282034645,0.10957028526947948,False
ema20_loss/forming,price,$2-10,540,287,-0.020046276009294095,-0.1531503062773544,0.5370370370370371,0.13359746543109904,0.45073635581669397,-0.9424970775518523,0.8954428903037016,0.07803839624440162,0.10957028526947948,False
ema20_loss/forming,vs_ema20,above,1119,391,0.10957028526947948,0.6932016318505775,0.5317247542448614,0.3976054495014822,2.2772190461607336,-0.263684778091504,1.3021109796118704,0.16447882115795465,0.10957028526947948,False
ema20_loss/forming,mkt20,mkt flat,798,276,0.35669625195696186,2.064931831195663,0.5576441102756893,0.5260618844703229,2.3731401316607865,1.8668461287719516,1.0884819034392186,0.3220275894322984,0.10957028526947948,False
ema20_reclaim/confirmed,vol_ratio,1-2x,1026,373,-0.005136157172481528,-0.2245513259723841,0.47173489278752434,-0.6553309543404177,-2.044658185227313,-0.9526804753168227,0.502423918378064,0.11276242706915568,0.1879570326980142,False
ema20_reclaim/confirmed,vol_ratio,<1x,1245,396,0.38724340640044425,1.7556831770395065,0.4811244979919679,0.2949503235645692,1.085947766995452,0.6110181856290107,2.09957429603184,0.7249160589805836,0.1879570326980142,False
ema20_reclaim/confirmed,rsi,45-55,1579,433,0.20515035957033428,0.3996407520693575,0.4743508549715009,-0.24277142294990114,-1.1204700243779977,-1.0482136707832257,1.471870989462891,0.6314481903210685,0.1879570326980142,False
ema20_reclaim/confirmed,rsi,55-70,966,352,0.16620259018675587,0.7757922518539311,0.4720496894409938,0.08317169385978045,0.4923492565543375,0.4648855863483199,0.6301947346971685,0.14001630216353433,0.1879570326980142,False
ema20_reclaim/confirmed,atr_pct,high,780,323,0.9018254269094067,2.315986020966652,0.517948717948718,0.4228127161379961,1.8286736238522134,2.422294146573375,0.7709561990575597,0.16656217036474127,0.1879570326980142,False
